Elapsed_Seconds,Temp_C,Freq_MHz,Mem_Used_MB,Throttle_Flag
528.6777,84.25,2146.0,1832.2,1
528.8740,82.60,2311.0,1832.2,1
529.0732,82.60,2256.0,1832.2,1
529.2757,82.60,2311.0,1832.2,1
529.4753,83.70,2201.0,1833.0,1
529.6754,84.25,2146.0,1832.5,1
529.8744,84.80,1500.0,1832.5,1
530.0832,83.70,2201.0,1832.3,1
530.2685,84.25,2146.0,1832.3,1
530.4783,83.70,2201.0,1831.8,1
530.6758,84.25,2146.0,1831.3,1
530.8825,84.25,2311.0,1831.7,1
531.0821,83.70,2146.0,1832.5,1
531.3775,84.25,2146.0,1833.2,1
531.4744,83.15,2256.0,1833.2,1
531.6823,83.15,2256.0,1833.2,1
531.8761,83.70,2201.0,1833.2,1
532.0827,84.25,2146.0,1833.2,1
532.2807,83.70,2201.0,1833.4,1
532.4832,82.60,2311.0,1832.7,1
532.6794,83.70,2201.0,1832.7,1
532.8833,84.25,2146.0,1832.7,1
533.0802,83.70,2201.0,1833.0,1
533.2822,83.15,2201.0,1833.2,1
533.4804,83.70,2201.0,1832.7,1
533.6775,83.15,2256.0,1833.0,1
533.8828,84.25,2146.0,1833.0,1
534.0841,83.70,2201.0,1833.0,1
534.2779,84.25,2146.0,1833.2,1
534.4843,82.60,2311.0,1832.6,1
534.6802,83.15,2256.0,1832.3,1
534.8855,84.25,2146.0,1832.3,1
535.0859,84.25,2146.0,1832.3,1
535.2775,83.70,2201.0,1832.3,1
535.4849,84.80,2256.0,1831.4,1
535.6834,84.80,1500.0,1831.4,1
535.8862,84.25,2256.0,1831.6,1
536.0869,83.15,2256.0,1831.9,1
536.2835,84.25,2146.0,1831.9,1
536.4869,84.25,2256.0,1831.4,1
536.6860,82.60,2201.0,1831.4,1
536.8814,83.70,2201.0,1831.4,1
537.0821,83.15,2256.0,1831.6,1
537.2914,84.25,1500.0,1831.6,1
537.4820,82.60,2311.0,1831.3,1
537.6807,84.25,2146.0,1831.3,1
537.8828,84.25,2146.0,1831.7,1
538.0814,83.70,2201.0,1831.3,1
538.2842,83.70,2146.0,1831.3,1
538.4844,84.25,2146.0,1830.8,1
538.6894,84.25,2146.0,1830.8,1
538.8852,83.70,2201.0,1831.3,1
539.0852,84.25,1500.0,1831.3,1
539.2879,82.05,2366.0,1831.3,1
539.4885,84.80,2146.0,1831.0,1
539.6909,84.80,1500.0,1831.3,1
539.8940,83.70,2201.0,1832.0,1
540.0943,84.25,2146.0,1832.0,1
540.2911,83.15,2311.0,1832.0,1
540.4907,85.90,1500.0,1831.9,1
540.6966,84.80,1500.0,1831.9,1
540.8918,84.80,1500.0,1831.9,1
541.0949,84.25,2146.0,1831.9,1
541.2872,83.70,2201.0,1832.1,1
541.4987,84.25,2146.0,1831.8,1
541.6930,84.25,2146.0,1832.1,1
541.8932,84.80,1500.0,1832.1,1
542.0987,84.80,1500.0,1832.1,1
542.2962,84.25,2146.0,1832.4,1
542.4928,83.15,2256.0,1831.3,1
542.6975,83.15,2201.0,1831.5,1
542.9014,83.70,2201.0,1831.5,1
543.1009,83.15,2146.0,1831.8,1
543.2980,84.80,2201.0,1831.8,1
543.4944,84.25,2146.0,1832.0,1
543.7009,83.70,2201.0,1832.0,1
543.8967,83.70,2201.0,1832.2,1
544.0977,84.25,2146.0,1832.2,1
544.3002,84.25,2146.0,1832.2,1
544.4950,83.15,2256.0,1831.5,1
544.7069,84.25,2146.0,1831.7,1
544.8984,83.70,2201.0,1831.7,1
545.1015,84.25,2146.0,1831.7,1
545.3057,83.70,1500.0,1831.7,1
545.5025,84.25,2311.0,1831.2,1
545.7025,83.70,2201.0,1831.5,1
545.9017,84.25,2146.0,1831.7,1
546.1041,83.70,2201.0,1831.7,1
546.3073,84.80,2146.0,1831.9,1
546.5030,84.80,2201.0,1831.4,1
546.7012,84.25,2146.0,1831.4,1
546.9023,84.25,2146.0,1831.4,1
547.1056,84.25,2146.0,1831.6,1
547.3096,84.25,2146.0,1831.6,1
547.5078,83.70,2201.0,1831.4,1
547.7050,84.25,2146.0,1831.6,1
547.9012,82.05,2366.0,1831.6,1
548.1053,83.70,2201.0,1831.8,1
548.3019,83.15,2256.0,1831.1,1
548.5031,81.50,2400.0,1821.0,1
548.7047,81.50,2400.0,1830.7,1
548.9078,82.05,2366.0,1833.1,1
549.1068,83.70,2201.0,1834.2,1
549.3144,83.15,2256.0,1834.2,1
549.5071,82.05,2366.0,1835.2,1
549.7112,83.70,2201.0,1835.2,1
549.9041,83.15,2256.0,1835.4,1
550.1136,83.15,2256.0,1835.6,1
550.3121,84.25,2146.0,1835.6,1
550.5123,82.60,2311.0,1835.6,1
550.7098,83.70,1500.0,1835.9,1
550.9090,84.25,2201.0,1835.9,1
551.1161,84.25,2146.0,1835.9,1
551.3091,82.05,2366.0,1835.9,1
551.5227,84.25,2256.0,1835.3,1
551.7087,84.25,2201.0,1836.5,1
551.9152,83.70,2201.0,1834.2,1
552.1143,83.15,2256.0,1833.0,1
552.3113,84.25,2146.0,1833.5,1
552.5123,84.25,2311.0,1834.0,1
552.7304,83.70,2366.0,1834.0,1
552.9115,84.25,2146.0,1834.4,1
553.1165,84.25,2146.0,1834.5,1
553.3176,83.70,2201.0,1834.5,1
553.5098,84.25,2146.0,1834.2,1
553.7114,83.15,2256.0,1834.2,1
553.9154,84.25,2146.0,1834.2,1
554.1088,84.80,2201.0,1834.4,1
554.3209,83.15,1500.0,1835.1,1
554.5134,82.05,2366.0,1834.2,1
554.7155,83.70,2201.0,1834.4,1
554.9194,83.70,1500.0,1835.1,1
555.1107,84.25,2146.0,1835.1,1
555.3133,84.25,2146.0,1835.3,1
555.5190,84.25,1500.0,1833.7,1
555.7129,84.25,2146.0,1833.9,1
555.9169,83.15,2201.0,1833.9,1
556.1174,83.70,2256.0,1833.8,1
556.3105,82.60,2311.0,1834.3,1
556.5134,83.70,2201.0,1833.3,1
556.7118,84.25,2146.0,1833.3,1
556.9189,84.80,1500.0,1833.6,1
557.1191,84.80,1500.0,1833.3,1
557.3098,84.25,2146.0,1833.4,1
557.5125,83.15,2201.0,1832.7,1
557.7200,84.25,2146.0,1833.2,1
557.9162,83.15,2256.0,1833.5,1
558.1192,83.70,2201.0,1833.5,1
558.3115,83.15,2256.0,1834.0,1
558.5202,84.80,1500.0,1833.6,1
558.7141,83.15,2256.0,1833.6,1
558.9171,84.80,1500.0,1833.6,1
559.1164,83.70,2201.0,1833.6,1
559.3219,84.25,2311.0,1833.6,1
559.5157,83.15,1500.0,1833.4,1
559.7211,83.70,2201.0,1833.4,1
559.9180,84.80,2146.0,1833.4,1
560.1163,82.60,2311.0,1833.6,1
560.3232,84.25,2146.0,1832.9,1
560.5234,83.15,2256.0,1831.6,1
560.7268,83.70,2146.0,1832.9,1
560.9194,84.25,2146.0,1832.9,1
561.1268,83.70,2201.0,1832.9,1
561.3255,82.60,2366.0,1832.4,1
561.5254,83.70,2201.0,1831.2,1
561.7250,84.25,1500.0,1831.7,1
561.9268,82.60,2311.0,1831.7,1
562.1221,83.70,2201.0,1831.7,1
562.3219,84.25,2146.0,1831.7,1
562.5228,84.25,2146.0,1832.7,1
562.7230,84.25,2146.0,1832.7,1
562.9365,85.35,1500.0,1832.7,1
563.1308,82.60,2201.0,1832.9,1
563.3261,84.25,2146.0,1832.9,1
563.5253,84.25,2311.0,1832.6,1
563.7201,82.60,2311.0,1832.8,1
563.9250,83.70,2256.0,1833.0,1
564.1238,83.70,1500.0,1833.1,1
564.3288,83.15,2256.0,1832.6,1
564.5259,83.70,2201.0,1832.4,1
564.7248,83.70,2201.0,1832.9,1
564.9249,84.25,2256.0,1832.9,1
565.1245,84.25,2146.0,1833.1,0
565.3274,82.05,2366.0,1833.1,1
565.5261,83.70,2201.0,1832.9,1
565.7297,84.25,2201.0,1832.7,1
565.9236,83.70,2201.0,1832.7,1
566.1255,84.25,2146.0,1832.7,1
566.3294,83.15,2256.0,1832.7,1
566.6301,83.15,2146.0,1831.6,1
566.7238,83.70,2146.0,1832.0,1
566.9285,83.70,2201.0,1832.8,1
567.1248,84.25,2146.0,1832.8,1
